tweet_count,user_id,username,text,created_at
63,23343960,Kompas.com,"Menurut AFP, banjir ini termasuk yang paling mematikan di Sumatera sejak tsunami 2004. Namun hingga kini, pemerintah Indonesia belum meminta bantuan internasional, meskipun ada sejumlah pihak yang menyarankan langkah tersebut.

Baca di sini: https://t.co/Y66Bg8TB1v

~AM https://t.co/2WQfiN7Hqz",Sun Dec 14 03:18:08 +0000 2025
64,103210292,Azzam Mujahid Izzulhaq,"Menanggapi pernyataan terbaru Sekretaris Kabinet (Seskab) @setkabgoid , saudara Teddy Indra Wijaya mengenai penanganan bencana banjir dan longsor di Sumatra (Aceh, Sumatera Utara, dan Sumatera Barat), yg menekankan bahwa penanganan sudah berskala nasional tanpa perlu status",Sat Dec 20 06:16:49 +0000 2025
65,9688522,Aceh 🇮🇩🇹🇷🇵🇸,"Instruksi Prabowo Pemerintah Pusat Jakarta Sanggup atasi Bencana Banjir Longsor Aceh - Sumatera tanpa bantuan luar negeri. Gubernur Aceh Mualem ⚡️ ""Pak Mentri Katakan Sanggup,.. Ya Sanggup""

Banjir Aceh 🌀 Cyclone Senyar menjadi bencana banjir–longsor 🌊💥 terparah dalam sejarah https://t.co/3kuTvYa7Do",Tue Dec 16 16:50:55 +0000 2025
66,2695463725,kiv z,"Tri Rismaharini mengatakan, seharusnya pemerintah tidak tebang pilih menyeleksi bantuan untuk korban banjir di Aceh, Sumatera Barat dan Sumatera Utara. Risma mendorong agar semua bantuan diterima.

""Siapa pun yang memberikan bantuan itu kita tidak usah (memilih) ini siapa dulu, https://t.co/anZBFwZXYd",Fri Dec 19 09:56:53 +0000 2025
67,1158355819512991747,Narasi Newsroom,"Komisi Nasional Hak Asasi Manusia (Komnas HAM) Sekretariat Aceh menyatakan banjir bandang dan longsor di Aceh, Sumatera Utara, dan Sumatera Barat telah memenuhi indikator penetapan bencana nasional.

Seperti dikutip Antara, Kepala Sekretariat Komnas HAM Aceh, Sepriady Utama, https://t.co/TLwadO7LkH",Thu Dec 18 07:03:29 +0000 2025
68,23343960,Kompas.com,"Ketua Umum Pimpinan Pusat Muhammadiyah, Haedar Nashir, menerima amanah terkait bantuan 30 ton beras dari Uni Emirat Arab (UEA) untuk korban banjir di Kota Medan, Sumatera Utara. 

Bantuan ini awalnya hendak dikembalikan, tapi tidak jadi dan diserahkan ke Muhammadiyah karena tidak https://t.co/P3f9cB4Q9q",Sat Dec 20 06:35:36 +0000 2025
69,219244515,Ruhut Sitompul,"Ini apa2an Barisan Sakit Hati, eh memfitnah Presiden RI ke 8 Bapak Jenderal TNI AD Kopassus Purn Prabowo Subianto yang di❤️Cintai Rakyat Indonesia terlibat Pengrusakan Hutan mengakibatKan Bencana Alam Banjir di Sumatera itu sudah salah besar telah memfitnah Presiden RI Negarawan https://t.co/jr5oWNfwF1",Thu Dec 11 05:45:33 +0000 2025
70,1729354223614304256,MasBRO 🦉🫶,"Atlet tenis Justin Barki sumbangkan bonus SEA Games untuk korban banjir Sumatera. 😍

Jangan kasih tau @KemensosRI https://t.co/ZQTa5lzzz0",Tue Dec 16 06:50:23 +0000 2025
71,9688522,Aceh 🇮🇩🇹🇷🇵🇸,"Mualem ⭐️⭐️⭐️⭐️ pantau langsung kondisi lapangan bencana di Aceh Tamiang ke tiga kalinya. Mantan Bos BRR: ""Bencana Sumatera 2025 Lebih Gila dari Tsunami 2004, Butuh Pemimpin Besi!""

Banjir Aceh  Sumatera🌀 Cyclone Senyar menjadi bencana banjir–longsor 🌊💥 terparah dalam sejarah https://t.co/Xj9Fl5L9OG",Thu Dec 11 18:57:44 +0000 2025
72,1101696077147729920,Nakula,"Saya akan mengucapkan terima kasih kepada siapapun yang mengirimkan bantuan untuk korban banjir Aceh dan Sumatera.

Terima kasih DPW PSl Banten yang sudah mengumpulkan donasi senilai 250 juta untuk korban banjir Aceh dan Sumatera. https://t.co/4YNqxNvJOe",Sat Dec 20 05:10:20 +0000 2025
73,975389335775199232,Embun Pagi💧💧,"DUA UCAPAN PEJABAT PALING NGESELIN DI BANJIR SUMATERA 

~ Surprise 
~ Kampanye di tengah bencana 

🤦🤦🤦 https://t.co/f4WbWy3f8r",Wed Dec 17 04:02:19 +0000 2025
74,1101696077147729920,Nakula,"Alhamdulillah... Kementerian pendidikan memberikan bantuan untuk para guru korban bencana banjir di Aceh dan Sumatera senilai 2 juta.
Bantuan ini berbeda dengan bantuan² pemerintah yang lain seperti bantuan untuk kerusakan rumah, bantuan untuk korban meninggal dan bantuan² https://t.co/cbMNUQyOOE",Fri Dec 19 06:38:05 +0000 2025
75,506059176,Cakrawalá Nusantará,"Suporter dan Panitia Turnamen Soekarno Cup serahkan donasi untuk Korban Bencana Banjir untuk saudara² kita di Sumatera, oleh Ketua Bidang Ekonomi Kreatif dan Ekonomi Digital DPP @PDI_Perjuangan M. Prananda Prabowo.
#PrayForSumatra https://t.co/KVuHeDqKFE",Sun Dec 14 13:16:25 +0000 2025
76,248199104,Partai Demokrat,Menko AHY Tinjau Lokasi Bancana Banjir Bandang di Sumatera Barat https://t.co/sHVDtY2pqV,Fri Dec 12 06:44:02 +0000 2025
